	pair	method	param	error_relative_truncated
5	BTC_USD	Multivariate Hawkes	900	0.959210903503264
3	BTC_USD	Moving Average	30	2.04714107711468
11	BTC_USD	Univariate Hawkes	600	2.1314263966336013
12	BTC_USD	Univariate Hawkes	900	2.1321974093285263
4	BTC_USD	Moving Average	60	2.2506531582528195
10	BTC_USD	Univariate Hawkes	300	2.3725774094187195
0	BTC_USD	Moving Average	120	2.555510029047395
1	BTC_USD	Moving Average	180	2.696766860318338
2	BTC_USD	Moving Average	240	2.696766860318338
9	BTC_USD	Poisson	900	3.711841122986149
7	BTC_USD	Poisson	300	3.7853779937756085
8	BTC_USD	Poisson	600	3.7984264912844026
6	BTC_USD	Naive	1	4.098360655737709
18	BTC_USDT	Multivariate Hawkes	900	1.5889568862790262
16	BTC_USDT	Moving Average	30	2.0863425925925223
17	BTC_USDT	Moving Average	60	2.3629224178962906
23	BTC_USDT	Univariate Hawkes	300	2.385799103734813
25	BTC_USDT	Univariate Hawkes	900	2.400027869633517
24	BTC_USDT	Univariate Hawkes	600	2.405348763374132
13	BTC_USDT	Moving Average	120	2.6223857302115796
14	BTC_USDT	Moving Average	180	2.6846103637089054
15	BTC_USDT	Moving Average	240	2.6846103637089054
19	BTC_USDT	Naive	1	3.32225913621276
20	BTC_USDT	Poisson	300	3.735289929468688
21	BTC_USDT	Poisson	600	3.838589369447283
22	BTC_USDT	Poisson	900	3.9809318725834486
31	ETH_BTC	Multivariate Hawkes	900	1.1625698809766682
29	ETH_BTC	Moving Average	30	1.5188237688238866
30	ETH_BTC	Moving Average	60	1.5752433570114102
26	ETH_BTC	Moving Average	120	1.6005980749464306
27	ETH_BTC	Moving Average	180	1.6132154882154421
28	ETH_BTC	Moving Average	240	1.6132154882154421
33	ETH_BTC	Poisson	300	1.7074928994096261
34	ETH_BTC	Poisson	600	1.7807476266996858
36	ETH_BTC	Univariate Hawkes	300	1.8155332041223087
35	ETH_BTC	Poisson	900	1.8264800109084667
37	ETH_BTC	Univariate Hawkes	600	1.8975426101998705
38	ETH_BTC	Univariate Hawkes	900	1.9735472074837848
32	ETH_BTC	Naive	1	4.694835680751309
44	ETH_USD	Multivariate Hawkes	900	2.137210830613436
45	ETH_USD	Naive	1	2.415458937198142
42	ETH_USD	Moving Average	30	2.449982900136795
43	ETH_USD	Moving Average	60	2.7743197091551344
39	ETH_USD	Moving Average	120	3.055569602472267
40	ETH_USD	Moving Average	180	3.119898384141381
41	ETH_USD	Moving Average	240	3.119898384141381
50	ETH_USD	Univariate Hawkes	600	3.2077960928798483
51	ETH_USD	Univariate Hawkes	900	3.2669778804738145
49	ETH_USD	Univariate Hawkes	300	3.369226794228152
46	ETH_USD	Poisson	300	4.774704156118223
47	ETH_USD	Poisson	600	5.318893052039057
48	ETH_USD	Poisson	900	5.808283137778643
57	ETH_USDT	Multivariate Hawkes	900	1.215230232227094
55	ETH_USDT	Moving Average	30	1.5457508974341467
56	ETH_USDT	Moving Average	60	1.626775548391866
52	ETH_USDT	Moving Average	120	1.6569098949694894
53	ETH_USDT	Moving Average	180	1.6585211853897244
54	ETH_USDT	Moving Average	240	1.6585211853897244
59	ETH_USDT	Poisson	300	1.8633800407894636
64	ETH_USDT	Univariate Hawkes	900	1.8782057293252437
62	ETH_USDT	Univariate Hawkes	300	2.020095656965577
63	ETH_USDT	Univariate Hawkes	600	2.0400744462323974
60	ETH_USDT	Poisson	600	2.066503301110087
61	ETH_USDT	Poisson	900	2.2297123894638564
58	ETH_USDT	Naive	1	4.761904761904742
